date,downloads,project,package
2024-01-08,1403470,pgvector,pgvector
2024-01-08,2769345,milvus,pymilvus
2024-01-08,1672815,qdrant,qdrant-client
2024-01-08,4614132,chromadb,chromadb
2024-01-08,4688508,pinecone,pinecone-client
2024-01-08,3258984,weaviate,weaviate-client
2024-01-09,1416334,pgvector,pgvector
2024-01-09,2768119,milvus,pymilvus
2024-01-09,1675906,qdrant,qdrant-client
2024-01-09,4636195,chromadb,chromadb
2024-01-09,4694642,pinecone,pinecone-client
2024-01-09,3267749,weaviate,weaviate-client
2024-01-10,1430625,pgvector,pgvector
2024-01-10,2767404,milvus,pymilvus
2024-01-10,1682121,qdrant,qdrant-client
2024-01-10,4665672,chromadb,chromadb
2024-01-10,4693556,pinecone,pinecone-client
2024-01-10,3268004,weaviate,weaviate-client
2024-01-12,1462695,pgvector,pgvector
2024-01-12,2768209,milvus,pymilvus
2024-01-12,1691486,qdrant,qdrant-client
2024-01-12,4724213,chromadb,chromadb
2024-01-12,4711835,pinecone,pinecone-client
2024-01-12,3289575,weaviate,weaviate-client
2024-01-16,1491230,pgvector,pgvector
2024-01-16,2753468,milvus,pymilvus
2024-01-16,1700345,qdrant,qdrant-client
2024-01-16,4780297,chromadb,chromadb
2024-01-16,4722756,pinecone,pinecone-client
2024-01-16,3305027,weaviate,weaviate-client
2024-01-18,1521216,pgvector,pgvector
2024-01-18,2749043,milvus,pymilvus
2024-01-18,1708792,qdrant,qdrant-client
2024-01-18,4835008,chromadb,chromadb
2024-01-18,4734012,pinecone,pinecone-client
2024-01-18,3316949,weaviate,weaviate-client
2024-01-19,1538525,pgvector,pgvector
2024-01-19,2746797,milvus,pymilvus
2024-01-19,1717634,qdrant,qdrant-client
2024-01-19,4862125,chromadb,chromadb
2024-01-19,4730783,pinecone,pinecone-client
2024-01-19,3312720,weaviate,weaviate-client
2024-01-22,1564849,pgvector,pgvector
2024-01-22,2754224,milvus,pymilvus
2024-01-22,1732415,qdrant,qdrant-client
2024-01-22,4901260,chromadb,chromadb
2024-01-22,4752197,pinecone,pinecone-client
2024-01-22,3328938,weaviate,weaviate-client
2024-01-24,1600634,pgvector,pgvector
2024-01-24,2762180,milvus,pymilvus
2024-01-24,1739452,qdrant,qdrant-client
2024-01-24,4957101,chromadb,chromadb
2024-01-24,4749724,pinecone,pinecone-client
2024-01-24,3324306,weaviate,weaviate-client
2024-01-25,1617459,pgvector,pgvector
2024-01-25,2767413,milvus,pymilvus
